image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7C9727AC62D0>,"[['""[\'A couple walks down the street at night, and is almost completely in silhouette."", ""'], ['A man and a woman in black coats walking down a brightly lit Asian street."", ""'], ['A couple walking down a city street at night in front of neon lights."", ""'], ['A couple walking down a dark street at night."", ""'], ['A couple walking on the sidewalk.\']""']]","[['Two people in the foreground look like shadows against the neon signs of the businesses at night.'], ['A photo of a couple walking down the street with Chinese characters written on the signage.'], ['A man in a red raincoat is looking to the opposite site of the camera.'], ['A couple embrace as they look at the Asian signs in the distance.'], ['Couple in shadow walks away from a lit storefront toward camera']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97449C8650>,"[['""[\'A man in a gray shirt and yellow shorts jumps off a cliff into a river."", ""'], ['A boy is jumping off a cliff into a river."", ""'], ['A person is jumping from a cliff into a lake'], ['A person jumps off a cliff into a river."", ""'], ['A boy jumps into a river.\']""']]","[['Person in yellow shorts, gray shirt with logo jumping from bank into the water.'], ['A young person wearing a gray shirt and yellow shorts jumping into a river.'], ['A boy high in the air above the dirt and water near the red rock cliffs.'], ['The boy in yellow shorts leaps from riverbank towards the river.'], ['A medium sized child jumps off of a dusty bank over a creek.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97440EC5F0>,"[['""[\'Two people are sitting on a dock with their backs to a body of water with a mountain range in the distance."", ""'], ['Two people are sitting by the water on a dock in the evening."", ""'], ['Two people sit on a dock next to a body of water."", ""'], ['Two people sitting on a dock overlooking a lake."", ""'], ['Two people sit on a dock at sunset.\']""']]","[['Two people sit in the dark, on the shore, looking at the city lights.'], ['The couple is sitting near the water in lawn chairs.'], ['Two people on cots watching the water at twilight.'], ['Two people sitting in the shadows near the water.'], ['Two people relax by the water.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=373x500 at 0x7C97279C8D10>,"[['""[\'A woman in a striped shirt prepares food with a pair of knives, while two others look on."", ""'], ['A woman in a striped shirt and clear plastic apron is preparing food on a cutting board."", ""'], ['A woman with red-hair and a striped shirt is preparing food in a kitchen."", ""'], ['A woman with red-hair is preparing food while others watch."", ""'], ['A woman in a striped shirt prepares food in a kitchen.\']""']]","[['A middle-aged woman with a young, edgy red haircut is looking down at shallots she is cutting up in a restaurant kitchen on a cutting board.'], ['A woman in a striped shirt uses a cutting board and knives to cut some vegetables.'], ['A woman in a black and mint shirt preparing food during a cooking class.'], ['An older woman with short red-hair is preparing food in a kitchen.'], ['A dyed red-haired women prepares an onion in a commercial kitchen.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x371 at 0x7C97449ECE30>,"[['""[\'Three people on horseback, two in red shirts, are competing in a rodeo."", ""'], ['Three people riding horses are competing in a rodeo."", ""'], ['Three people in red riding horses in a rodeo."", ""'], ['Three men ride horses in a competition."", ""'], ['Three people on horses at a rodeo.\']""']]","[['There are three men on horses, 2 with red shirts, and the third with a white shirt is getting bucked off while people spectate.'], ['Three men on horses, one of them with his legs up in the air is being bucked off his horse.'], ['Two men on horses look on as another man is bucked off the back of his horse.'], ['Two men on horseback watch as another man is thrown from his bucking horse.'], ['Three men are riding horses in the rodeo with spectators watching.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9744DAF260>,"[['""[\'A group of people are competing in a short track speed skating competition."", ""'], ['Four people in yellow helmets are competing in a race on ice."", ""'], ['Four men are competing in a speed skating race."", ""'], ['Speed skaters are competing in a race."", ""'], ['Four people in a speed skating race.\']""']]","[['Four skaters are competing in a high speed skating competition, and turning on the track.'], ['Four athletes from two different teams are competing in their sport on the ice rink.'], ['Four people turn a corner in a speed skating event.'], ['Four women participating in an ice-skating race.'], ['Four ice skaters racing around a corner.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C9744D2C2C0>,"[['""[\'A man in white pants and a white shirt stands in front of a keyboard and sings into a microphone."", ""'], ['A man wearing white stands at a keyboard in front of a microphone."", ""'], ['A man is singing into a microphone while playing the keyboard."", ""'], ['A man in white is performing on stage."", ""'], ['A man is playing music on stage.\']""']]","[['A man in a snazzy silver suit is playing the keyboard and singing.'], ['A man, dressed in white, plays the piano and sings on stage.'], ['A man dressed in white plays a keyboard as his band performs.'], ['Musician is dressed in white and playing keyboard with band.'], ['A man in a white outfit is playing an electric keyboard.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C974675B650>,"[['""[\'A man in a green uniform is pulling a green cart in a busy city street with McDonalds in the background."", ""'], ['A delivery man is pulling his cart in the middle of a busy street."", ""'], ['A man in a green uniform is pulling a cart down a busy street."", ""'], ['A man in a green uniform pulling a cart down a busy street."", ""'], ['A man pulls a cart down a busy street.\']""']]","[['""A group of people are standing on a city street at night; in the background are streetlights and a McDonald\'s restaurant."", \'A man wearing a green jumpsuit pushing a wagon is waiting to cross the street.'], ['A cleaning woman in a bright uniform is pushing a cart.'], ['A city worker pushing a mobile garbage bin.'], ['An old man cleaning trash on the street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7C9745588A10>,"[['""[\'A man in a black shirt uses tongs to turn over sausages cooking on a grill."", ""'], ['A man is using tongs to turn sausages on a grill."", ""'], ['A man grilling hotdogs and sausages."", ""'], ['A man grills a variety of sausages."", ""'], ['A man is grilling sausages.\']""']]","[['Man in a black shirt with a watch grilling many hotdogs on a stainless steel barbecue.'], ['A man grills sausages on a large steel grill.'], ['A man grilling hotdogs on a gas grill.'], ['A man grilling hotdogs and sausages.'], ['A man is grilling sausages.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727F461E0>,"[['""[\'A schoolgirl climbs a tree with a smile on her face."", ""'], ['A young girl in a school uniform climbs a tree."", ""'], ['A school girl climbing a tree."", ""'], ['A girl climbing a tree."", ""'], ['A girl climbs a tree.\']""']]","[['A girl in a blue dress, wearing a blue sweater, hanging out in a tree.'], ['A girl in a blue school uniform climbs a tree and stops for a picture.'], ['A woman in formal clothing climbing a tree.'], ['Girl in school outfit atop a tree.'], ['A schoolgirl climbing a tree.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=440x500 at 0x7C9727F57440>,"[['""[\'A girl soccer player in a red jersey and black shorts leaps to hit the soccer ball."", ""'], ['A soccer player in red is kicking the soccer ball into the goal."", ""'], ['A soccer player wearing a red jersey kicks the ball into the net."", ""'], ['A woman kicks a soccer ball into the goal."", ""'], ['A girl in red kicking a soccer ball\']""']]","[['A young woman wearing a red shirt stands in a soccer goal and kicks a ball.'], ['A goalie in a red uniform kicks at the soccer ball to protect the goal.'], ['A female kicking a soccer ball while in front of a soccer goal.'], ['The young ladie takes a goalie kick during a soccer match.'], ['A soccer player in a red uniform just kicked a ball.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9744ABD1C0>,"[['""[\'A man in a striped shirt and jeans is sleeping on the sidewalk with a bike parked behind him."", ""'], ['A man is sitting on a sidewalk curb with a bicycle in the background."", ""'], ['A man in a striped shirt sits on a sidewalk."", ""'], ['A man in jeans is sleeping on a sidewalk."", ""'], ['A man is sitting on the curb.\']""']]","[['Male in a striped short-sleeve shirt, jeans, and brown shoes falling asleep while sitting down.'], ['A man in jeans and a striped short shirt is sitting on a stoop and sleeping.'], ['A man in a striped shirt and blue jeans asleep on a stoop.'], ['A man is sitting on the floor, sleeping.'], ['A male taking a nap on a hot afternoon.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C974497FEC0>,"[['""[\'A man in a boat with several geese floating in the water."", ""'], ['A man in a boat is surrounded by a group of swans."", ""'], ['A man in a boat with swans in the water'], ['A man in a boat surrounded by swans."", ""'], ['A man in a boat feeding swans.\']""']]","[['A man on a boat feeding many water birds and two parents in chairs with their little girl on the side.'], ['A man in a boat wearing a white shirt is holding a buoy while being surrounded by swan.'], ['A flock of swans gathers around a person in a boat on a sunny day.'], ['Swans are gathering around a man and a boat.'], ['Man riding in boat feeds group of swan.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97448370E0>,"[['""[\'A brown dog stands on grass covered with leaves, mouth open, with a stick in front of it."", ""'], ['A brown dog playing with a stick in the grass."", ""'], ['A dog with a stick in its mouth in the grass."", ""'], ['A dog stands in the grass with a stick."", ""'], ['A brown dog playing with a stick.\']""']]","[['A dog walks through the leaves with a large stick in his mouth.'], ['A yellow dog plays with a large stick in the grass.'], ['A golden retriever is biting a branch in a yard.'], ['A golden dog has a long stick in its mouth.'], ['A dog carries a stick in its mouth.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C97457993A0>,"[['""[\'A young woman, wearing a gray tank top and jeans, holds a black electric guitar in her lap."", ""'], ['A woman wearing a gray tank top playing a guitar."", ""'], ['A woman is holding an electric guitar in her lap."", ""'], ['A young woman plays an electric guitar."", ""'], ['A young woman playing a guitar.\']""']]","[['Asian woman wearing jeans and a tank top while playing an electric guitar inside a house.'], ['""A woman playing an electric guitar that doesn\'t have any strings."", \'A chinese girl playing a guitar standing in front of a cough.'], ['A woman with a flowered lei is playing the guitar.'], ['An Asian teen girl playing an electric guitar.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=344x500 at 0x7C9746341D60>,"[['""[\'A woman in a Statue of Liberty costume holding a torch stands in a crowded street as a man in a white shirt and backpack walks by."", ""'], ['A person is dressed up as the Statue of Liberty while people walk by."", ""'], ['A person dressed as the Statue of Liberty stands in a crowd."", ""'], ['A person dressed as the Statue of Liberty stands in a crowd."", ""'], ['A person dressed as the Statue of Liberty\']""']]","[['A person in a statue of liberty costume with shades stands motionless in a crowd of people.'], ['A Statue of Liberty street performer stands outside while pedestrians pass.'], ['A human statute dressed as the Statute of Liberty stands among a crowd.'], ['Man looking at The Statue of Liberty with sunglasses on.'], ['A mock statue of liberty is standing in the crowd.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C9727AF4FB0>,"[['""[\'A man wearing a black and white striped shirt is snowboarding in the snow."", ""'], ['A man in a black and white striped shirt is snowboarding."", ""'], ['A man in a striped shirt is snowboarding on a slope."", ""'], ['A man in a striped shirt is snowboarding."", ""'], ['A man snowboarding in the snow.\']""']]","[['A snowboarder wearing a black and white striped jacket is kicking up some snow.'], ['A snowboarder poses for the camera while doing a trick.'], ['A man in a zippered jacket snowboarding.'], ['A man in a prison suit is snowboarding.'], ['A snowboarder in stripes.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x334 at 0x7C9727E43AD0>,"[['""[\'A woman wearing a blue lab coat looks through a microscope in front of a glass case with a computer and monitor behind her."", ""'], ['A woman in a blue shirt is looking through a microscope while her hand is over a clear plastic box."", ""'], ['A female scientist working in a laboratory with a microscope."", ""'], ['A lady is looking through a microscope while working."", ""'], ['A woman in a blue coat is looking into a microscope.\']""']]","[['A woman is looking through a scientific instrument at a small piece of technology.'], ['Woman looking through a high-powered microscope at a bacteria in a small vial'], ['A woman in a lab coat is looking into a microscope in a lab.'], ['There is a scientist looking through a microscope.'], ['A female researcher videotaping a specimen.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C97465E2030>,"[['""[\'A man in a blue jacket is walking a yellow dog in front of a run-down building."", ""'], ['A man walking a dog in front of a building that has graffiti on it."", ""'], ['A man in a blue shirt walks a dog on a leash near a building."", ""'], ['A man walking a dog by a building with graffiti on it."", ""'], ['A man is walking a dog in front of a building.\']""']]","[['A person in a hat walking their dog in front of a building with large chain-linked fences surrounding it.'], ['A person in a blue jacket walks his golden dog in front of an abandoned building.'], ['A man walks an orange dog in front of a building with a rusted chain fence.'], ['A bad neighbor hood were there is vandalism on the buildings'], ['A man walks a large dog past a barricaded building.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9792649250>,"[['""[\'Two women picking plants in a field, one of them has a basket."", ""'], ['Two women in a field are picking strawberries."", ""'], ['Two women pick fruit in a field."", ""'], ['Two women picking berries."", ""'], ['Two girls pick berries.\']""']]","[['Two women are outside with a basket picking produce.'], ['Young women pick strawberries in a field.'], ['Two girls picks berries from a field.'], ['Two women harvesting their garden.'], ['Gardening is fun and relaxing.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x347 at 0x7C97456586B0>,"[['""[\'A woman with black hair is biting into a piece of corn on the cob."", ""'], ['A woman with dark hair is eating corn on the cob."", ""'], ['A woman with black hair is eating corn on the cob."", ""'], ['A young woman eats corn on the cob."", ""'], ['A woman eating a corn on the cob.\']""']]","[['A person with dark hair is eating a very large ear of corn.'], ['The child with black hair is eating corn on the cob.'], ['A black-haired girl is eating corn on the cob.'], ['A man is eating a piece of corn on the cob.'], ['A man is nibbling on an ear of corn']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C97454D3650>,"[['""[\'A man in a pink shirt and cowboy hat is riding a horse around a red bag at a rodeo."", ""'], ['A man in a pink shirt and cowboy hat is riding a horse around a red barrel."", ""'], ['A man in a pink shirt is riding a horse around a red barrier."", ""'], ['A man is riding a horse and is going around a red barrel."", ""'], ['A man on a horse goes around a barrel.\']""']]","[['A woman wearing a cowboy hat and a pink shirt is ridding a horse in a competition.'], ['Someone in a pink shirt is riding a brown horse in a rodeo.'], ['A woman in a pink shirt wears rides a horse in a rodeo.'], ['The brown horse is next to a red barrel at the rodeo.'], ['A cowgirl corners a barrel riding a horse.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97279491C0>,"[['""[\'Two men are at a shooting range; one is standing and holding a rifle and the other is kneeling and listening to the man with the rifle."", ""'], ['Two men are at a shooting range, one with a shotgun is aiming while the other is talking to him."", ""'], ['One man in a green jacket is holding a shotgun while another man is talking to him."", ""'], ['Two men are at a shooting range."", ""'], ['Two men are shooting at a range.\']""']]","[['One older man in a game preserve is standing with ear protection on while a younger man not wearing ear protection holds a rifle.'], ['A person, standing outside, in a green sweater holds a shotgun as a man wearing ear protection looking at him.'], ['At the shooting range, a man in a green jacket practices his shooting.'], ['1 man with rifle in hand and other instructing at a shooting range'], ['Two men shoot a shotgun at a shooting range.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9744D67BF0>,"[['""[\'A woman wearing a pink shirt is sleeping in a car with a blue and white blanket draped over her."", ""'], ['A woman with brown hair and wearing a red shirt sleeping on a seat in a car."", ""'], ['A woman in a pink shirt sleeps in the back of a car."", ""'], ['A woman in a red shirt is sleeping in a car."", ""'], ['A woman sleeping in a car.\']""']]","[['Pink shirted woman sleeping in a car with blue and white blanket on her.'], ['A woman in a pink shirt wrapped up in a blue blanket asleep in a car.'], ['A woman in a red shirt is under a blanket and sleeping in a vehicle.'], ['A lady with brown hair in a pink shirt sleeping in a car.'], ['A woman sleeps under a blue and white blanket in a car.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x332 at 0x7C97275C26F0>,"[['""[\'An older man wearing a dark jacket and khaki pants walking across a city street with a stoplight and graffiti in the background."", ""'], ['A man wearing a black jacket and khaki pants is walking across the street in the rain."", ""'], ['A man walks across the street while it is raining."", ""'], ['A man is walking in the street during the rain."", ""'], ['A man walking in the rain.\']""']]","[['A man in a green coat crossing the street with graffiti in the background.'], ['A man in a coat is walking across a city street during a snowstorm.'], ['A man is crossing a street which is lined by a wall of graffiti.'], ['A man is walking across the street while it is snowing.'], ['Man walking across the street in the snow.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C972798E750>,"[['""[\'A man with a white t-shirt and a beard is sitting in front of a crowd of people."", ""'], ['A man in a white t-shirt with the words Backyard Babies on it is speaking."", ""'], ['A man sits on a platform while a crowd sits around him."", ""'], ['A man is addressing a crowd of people."", ""'], ['A man sits in front of a crowd.\']""']]","[['A man with a ""Backyard Babies"" has a black box in front of him and a crowd on chairs behind him.'], ['A man is kneeling in the top step while many people are behind him sitting in chairs.'], ['A man sits on the stage giving technical assistance for a performance.'], ['Crowd behind man working projector'], ['A man sitting in front of a stage']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7C9744B9D820>,"[['""[\'Two girls play with flowers and smile while a man in a hat walks behind them."", ""'], ['Two girls smile and reach out into the flowers."", ""'], ['Two girls are playing with flowers."", ""'], ['Two girls are playing in the flowers'], ['Two girls play with flowers.\']""']]","[['Two girls have their picture taken from an unusual angle as they sit on a bench between plantings of beautiful flowers.'], ['Two young women are standing in the middle of a flower garden with their arms wide open.'], ['There are lots of beautiful pink and white flowers and two Asian girls playing in them.'], ['Two girls in a bed of flowers with their arms stretched out.'], ['Two girls pose for a picture among vibrant flowers.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7C9744C3DFA0>,"[['""[\'A team of people paddling in a boat in the water with trees in the background."", ""'], ['A group of people paddle a boat with a woman on the side."", ""'], ['A boat crew is splashing as they paddle through the water."", ""'], ['A rowing team paddling a boat on the water."", ""'], ['A group of people rowing a boat.\']""']]","[['A group of people works hard to paddle their boat.'], ['A group of people on a boat paddle with oars.'], ['Black men in white tops riding a boat.'], ['Paddlers are getting in a water fight.'], ['Guys in a canoe competition race.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C97275C02F0>,"[['""[\'A child wearing blue shorts is jumping through water sprinklers."", ""'], ['A child wearing a gray shirt jumps on a yellow disk."", ""'], ['A little boy jumping on yellow circles."", ""'], ['A child is jumping on yellow circles."", ""'], ['A child jumping on yellow circles.\']""']]","[['A boy is jumping on yellow spots that are painted on the floor of a water fountain.'], ['A person in the air above a water spout in the blue and yellow floor.'], ['A small child is chasing water squirts in a fountain.'], ['A boy enjoys puddle jumping on the big yellow dot.'], ['Young child jumping in the air.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=332x500 at 0x7C9744B2E780>,"[['""[\'Two older men taking photographs with cameras on a trail'], ['Two men, one wearing a vest, are taking pictures."", ""'], ['Two men are standing on a dirt road taking pictures."", ""'], ['Two men are photographing something off-camera."", ""'], ['Two men photographing on a trail.\']""']]","[['Two men, one looking through binoculars, one looking through a scope at something out of frame.'], ['Two men, both wearing hats, one using binoculars and the other holding a camera.'], ['Two men taking pictures in a secluded area, and they are wearing camping gear.'], ['Two older men are wearing outdoor clothing while using binocular devices.'], ['Two men wearing outdoor gear looking through binoculars.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C9727412210>,"[['""[\'A girl in a green shirt and a girl in a gray shirt run a race on a street with an ambulance behind them."", ""'], ['Two girls, one in a green shirt, one in a gray shirt, are running a race."", ""'], ['Two young girls in a race on the street, with an ambulance nearby."", ""'], ['Two women in a race with a coca cola sign in the background."", ""'], ['Two girls running in a race.\']""']]","[['Two young women running, one wearing a green shirt and the other wearing a gray shirt with a race tag ""5028"" with an ambulance and a Coca-Cola machine in the background.'], ['Here is a picture of two teenage girls running on the side of the street in a race and there is an ambulance watching them.'], ['Two dark-haired young women dressed in t-shirts are running in a race.'], ['Two young women with numbers on their shirts run along a street.'], ['Two ladies running in front of a Coca-Cola ad.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x361 at 0x7C9744B7B6E0>,"[['""[\'A man is walking outside a building with a group of people in the background."", ""'], ['A man walks through a plaza as people in the background walk and look around."", ""'], ['An older man walks in front of a group of people in a darkened area."", ""'], ['A man in a white shirt is walking in a tunnel."", ""'], ['A man walking in the shade.\']""']]","[['Tourists stroll the streets between historic buildings.'], ['Some people are walking through a tourist attraction.'], ['Groups of people are walking out a short dark tunnel.'], ['A man walks a few feet in front of a family.'], ['An old man walking with a folder in his hand']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C974543EC30>,"[['""[\'Two men are wearing helmets and Zipvit sports shirts while riding bikes down a paved road."", ""'], ['Two bicyclists racing down a road, one in front of the other, the road is blurred."", ""'], ['Two bicyclists wearing Zipvit team uniforms are racing along a paved road."", ""'], ['Two men are racing on bikes with a green field behind them."", ""'], ['Two men are riding their bikes down the road.\']""']]","[['Two people dressed in their bicycle attire racing against each other or in a marathon race, racing on pavement.'], ['Two people are riding bicycles next to each other on ground with grass in the background.'], ['Two cyclists in blue uniforms compete against each other down the bicycle course.'], ['Two men racing down a street in a bicycle race.'], ['Two men ride there bike during the race.']]"
